QA spot-check (Aug 2026): diverse Wikidata name-match enrichment (pass 1)
  1,283 POIs enriched via cached SPARQL index (2,858 items): 499 exact + 784 containment
  Containment guards: >=2 name tokens, item geolocated <=100km from POI.
  Thumbnails (640px via Special:FilePath?width=640) hosted on ATHAR MinIO 127.0.0.1:19000.

First 200 enriched POIs (name | category | featured | attribution):
  Andalous Berrouaghia | restaurant | - | Wikidata Q2379121 (berrouaghia) containment, image Berrouaghia-03.JPG
  Annaba Theater | historical | - | Wikidata Q213944 (annaba) containment, image Hippone.JPG
  Annexe de la bibliothèque Cheikh El Bachir El Ibrahimi – Ksar Chellala, wilaya de Tiaret | cultural | - | Wikidata Q1648944 (ksar chellala) containment, image Ksar%20Chellala%20%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D8%B4%D9%84%D8%A7%D9%84%D8%A9%202.jpg
  Annexe de la bibliothèque de lecture publique Abdli Benali – Mellakou | cultural | - | Wikidata Q3305160 (mellakou) containment, image %D8%A8%D8%A7%D8%A8%D9%8A%D9%86%D9%8A%D8%A7%D8%B1.jpg
  Annexe de la bibliothèque de lecture publique Jacques Berque – Frenda | cultural | - | Wikidata Q2215495 (frenda) containment, image Jedars.jpg
  Annexe de la bibliothèque de lecture publique Moudjahid Demmouche Mohamed – Frenda | cultural | - | Wikidata Q2215495 (frenda) containment, image Jedars.jpg
  Annexe de la bibliothèque de lecture publique de Chorfa, Chlef – martyr Habibi Abed | cultural | - | Wikidata Q231752 (chlef) containment, image Pont%20Baarge%20de%20Oued%20Fooda.jpg
  Annexe de la bibliothèque de lecture publique martyr Ali El Hammami – Medroussa | cultural | - | Wikidata Q1649268 (medroussa) containment, image Jedars.jpg
  Aokas | beach | - | Wikidata Q3019434 (aokas) exact, image Si%C3%A8ge%20de%20la%20da%C3%AFra%20dAokas.jpg
  Aokas | beach | - | Wikidata Q3019434 (aokas) exact, image Si%C3%A8ge%20de%20la%20da%C3%AFra%20dAokas.jpg
  Aqueduc Maurétanien de Cherchell | historical | - | Wikidata Q1617666 (cherchell) containment, image Cherchell%27s%20fountain%20place.jpg
  Aqueduc Maurétanien de Cherchell | historical | - | Wikidata Q1617666 (cherchell) containment, image Cherchell%27s%20fountain%20place.jpg
  Aqueduc romain d'Oued Rouina | historical | - | Wikidata Q1885134 (rouina) containment, image Rouina%20%D8%A7%D9%84%D8%B1%D9%88%D9%8A%D9%86%D8%A9%20-%20panoramio%20%281%29.jpg
  Aqueduc romain de Bouzizi – commune de Séraïdi | historical | - | Wikidata Q2215851 (seraidi) containment, image Hotel%20el%20Mountazah%2CSera%C3%AFdi%20%28Alg%C3%A9rie%29.jpg
  Aqueduc romain de Sour El Ghozlane | historical | - | Wikidata Q312000 (sour el ghozlane) containment, image Sour%20El-Ghozlane.Ville.jpg
  Arc de Caracalla | historical | - | Wikidata Q1952148 (arc de caracalla) exact, image Arch%20of%20Caracalla%20%28Djemila%29%2001.jpg
  Arc de Trajan | historical | - | Wikidata Q1393557 (arc de trajan) exact, image Arch%20of%20Trajan%20%28Timgad%29.jpg
  Ardis | restaurant | - | Wikidata Q16528429 (ardis) exact, image Ardis%2001%2C%20centre%20commercial%20%C3%A0%20Mohammadia%2C%20Alger%2C%20Algerie.jpg
  Arsenaria | historical | - | Wikidata Q125375915 (arsenaria) exact, image Arsenaria.jpg
  Arsenaria | historical | - | Wikidata Q125375915 (arsenaria) exact, image Arsenaria.jpg
  Asečču Ḥesnawa Restaurant Hasnaoua | restaurant | - | Wikidata Q3128105 (hasnaoua) containment, image Bouchref%200250.JPG
  Assekrem | natural | - | Wikidata Q23823514 (assekrem) exact, image %D8%A7%D8%B3%D9%83%D8%B1%D8%A7%D9%85%202%20-%20%D8%AA%D9%85%D9%86%D8%B1%D8%A7%D8%B3%D8%AA.jpg
  Atlas | cafe | - | Wikidata Q130135 (atlas) exact, image Atlas%20mountains.jpg
  Azaghar | beach | - | Wikidata Q2876399 (azaghar) exact, image Ain%20zaouia%20algerie.jpg
  Aziz | historical | - | Wikidata Q2875145 (aziz) exact, image APC%20de%20Aziz%20%D9%85%D9%82%D8%B1%20%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%B9%D8%B2%D9%8A%D8%B2%20-%20panoramio.jpg
  Azrou Idjer | mountain | - | Wikidata Q3147876 (idjer) containment, image Commune%20d%27Idjeur%20%28Tizi%20Ouzou%2C%20Algeria%29.jpg
  Azrou Ou Babor | natural | - | Wikidata Q2877944 (babor) containment, image EL%20BABOR%20Mountains.jpg
  Aïn Zitoun | natural | - | Wikidata Q2876402 (ain zitoun) exact, image Ain%20Zitoune%20vu%20du%20ciel.jpg
  Aït Aïssa Mimoun | mountain | - | Wikidata Q3032817 (ait aissa mimoun) exact, image Montaignes%20Akaoudj.jpg
  BAB EL BOUNOUD – BAB EL FOUKA (PORTE DES ETANDARDS) | historical | - | Wikidata Q124427580 (bab el fouka) containment, image B%C3%A9ja%C3%AFa%20-%20restes%20de%20l%20enceinte%20fortifi%C3%A9e%20de%20la%20Porte%20Fouka.jpg
  BESBES | natural | - | Wikidata Q2899849 (besbes) exact, image Commune%20de%20Besbes%20%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A8%D8%B3%D8%A8%D8%A7%D8%B3.jpg
  BORDJ MOUSSA | historical | - | Wikidata Q124425851 (bordj moussa museum) containment, image Bordj%20Moussa.jpeg
  BOSQUET | natural | - | Wikidata Q3125557 (bosquet) exact, image Hadjadj.JPG
  Bab El Khemis | historical | - | Wikidata Q134481545 (bab el khemis) exact, image Bab%20El%20Khemis%2C%20Tlemcen%201857%2C%20F%C3%A9lix-Jacques-Antoine%20Moulin.jpg
  Bab El Khemis | historical | - | Wikidata Q134481545 (bab el khemis) exact, image Bab%20El%20Khemis%2C%20Tlemcen%201857%2C%20F%C3%A9lix-Jacques-Antoine%20Moulin.jpg
  Bab El Khemis | historical | - | Wikidata Q134481545 (bab el khemis) exact, image Bab%20El%20Khemis%2C%20Tlemcen%201857%2C%20F%C3%A9lix-Jacques-Antoine%20Moulin.jpg
  Bab El Oued | historical | - | Wikidata Q312019 (bab el oued) exact, image Bab%20El%20Oued%20Algiers%202008.jpg
  Bab el Fouka | cultural | - | Wikidata Q124427580 (bab el fouka) exact, image B%C3%A9ja%C3%AFa%20-%20restes%20de%20l%20enceinte%20fortifi%C3%A9e%20de%20la%20Porte%20Fouka.jpg
  Badji Mokhtar | cultural | - | Wikidata Q4118237 (universite badji mokhtar dannaba) containment, image %D8%AC%D8%A7%D9%85%D8%B9%D8%A9%20%D8%A8%D8%A7%D8%AC%D9%8A%20%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%20%D8%A7%D9%84%D8%A8%D9%88%D9%86%D9%8A.jpg
  Baie de Ziama | natural | - | Wikidata Q3575466 (ziama) containment, image Vue%20sur%20ziama%20mansouria%20port%20et%20village.jpg
  Barage Beni Bahdel | natural | - | Wikidata Q2895867 (beni bahdel) containment, image Paysage%20%C3%A0%20l%27entr%C3%A9e%20de%20la%20commune%20de%20Beni%20Bahdel%2C%20r%C3%A9gion%20de%20Tlemcen.jpg
  Barragde de Zerdaza | natural | - | Wikidata Q8069381 (zerdaza) containment, image %D8%AC%D8%A8%D9%84%20%27%D8%B3%D8%A8%D8%B9%D8%A9%20%D8%B1%DA%A8%D9%88%D8%AF%27%20%D8%A8%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%B2%D8%B1%D8%AF%D8%A7%D8%B2%D8%A9%20%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1.jpg
  Barrage d'Ighil Emda | natural | - | Wikidata Q105712160 (barrage dighil emda) exact, image %D8%B3%D9%80%D8%AF%D9%91.jpg
  Barrage d'eau Sidi naamane | natural | - | Wikidata Q3483276 (sidi naamane) containment, image Sidi%20Naamane%20-%20Nord%20%D8%B3%D9%8A%D8%AF%D9%8A%20%D9%86%D8%B9%D9%85%D8%A7%D9%86%20-%20panoramio.jpg
  Barrage de Achaacha | natural | - | Wikidata Q2822975 (achaacha) containment, image Achaacha%20barrage.jpg
  Barrage de Aïn Chorfa | natural | - | Wikidata Q375670 (chorfa) containment, image Environnement%20de%20Chorfa.jpg
  Barrage de Bekkouche Lakhdar | natural | - | Wikidata Q1649315 (bekkouche lakhdar) containment, image Villagegastucopyjanv07.jpg
  Barrage de Beni Chaib | natural | - | Wikidata Q2895873 (beni chaib) containment, image %D8%A8%D8%AD%D9%8A%D8%B1%D8%A9%20%D8%A8%D9%86%D9%8A%20%D8%B4%D8%B9%D9%8A%D8%A8.jpg
  Barrage de Boughezoul | natural | - | Wikidata Q116024999 (boughezoul) containment, image Gare%20de%20Boughezoul%20-%2053023011646.png
  Barrage de Bouhamdane | natural | - | Wikidata Q2921596 (bouhamdane) containment, image Taya%20guelma.jpg
  Barrage de Brezina | natural | Y | Wikidata Q2924791 (brezina) containment, image La%20mairie%20Brezina%20%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%A8%D8%B1%D9%8A%D8%B2%D9%8A%D9%86%D8%A9.jpg
  Barrage de Medjana | natural | - | Wikidata Q1649448 (medjana) containment, image Medjana%20ville.jpg
  Barrage de Oued Fodda | natural | - | Wikidata Q3358021 (oued fodda) containment, image Pont%20Baarge%20de%20Oued%20Fooda.jpg
  Barrage de l'Oued Chlef | natural | - | Wikidata Q231752 (chlef) containment, image Pont%20Baarge%20de%20Oued%20Fooda.jpg
  Barrage du Ksob | natural | - | Wikidata Q2885412 (barrage du ksob) exact, image Ksob.jpg
  Basilique de Theveste | historical | - | Wikidata Q984575 (theveste) containment, image T%C3%A9bessa%20Province.jpg
  Basé vie - Pénétrante Batna PK 0 | cultural | - | Wikidata Q215452 (batna) containment, image The%20headquarters%20of%20the%20wilaya%20of%20Batna.jpg
  Bataille de Staoueli | historical | - | Wikidata Q2890049 (bataille de staoueli) exact, image Battle%20of%20Staoueli%2C%201830%20-%20engraving.jpg
  Beb Annaba | historical | - | Wikidata Q213944 (annaba) containment, image Hippone.JPG
  Belcourt | restaurant | - | Wikidata Q634748 (belcourt) exact, image Belouizdad-vue-generale-1.jpg
  Benian ntaa Soumâa Citadel | historical | - | Wikidata Q1649886 (soumaa) containment, image Vers%20Ecole%20de%20police%20%D9%85%D8%AF%D8%B1%D8%B3%D8%A9%20%D8%A7%D9%84%D8%B4%D8%B1%D8%B7%D8%A9%20-%20panoramio.jpg
  Benian ntaa Soumâa Citadel | historical | - | Wikidata Q1649886 (soumaa) containment, image Vers%20Ecole%20de%20police%20%D9%85%D8%AF%D8%B1%D8%B3%D8%A9%20%D8%A7%D9%84%D8%B4%D8%B1%D8%B7%D8%A9%20-%20panoramio.jpg
  Berber | mountain | - | Wikidata Q45315 (berber) exact, image COLLECTIE%20TROPENMUSEUM%20Portret%20van%20een%20Berber%20TMnr%2010028642.jpg
  Bibliotheque Centrale, Tiaret | cultural | - | Wikidata Q233258 (tiaret) containment, image Retenue%20collinaire%20tawghazout%20frenda%20tiaret.JPG
  Bibliothèque Centrale de Annaba | cultural | - | Wikidata Q213944 (annaba) containment, image Hippone.JPG
  Bibliothèque Cheikh El Bachir El Ibrahimi – commune de Saneg | cultural | - | Wikidata Q338820 (saneg) containment, image Entr%C3%A9e%20de%20Saneg%20%D8%B3%D8%A7%D9%86%D9%82.jpg
  Bibliothèque Malek Bennabi, Aïn Témouchent | cultural | - | Wikidata Q770504 (ain temouchent) containment, image A%C3%AFn%20Temouchent.JPG
  Bibliothèque Moudjahid El Arbi Mohamed – commune de Djouab | cultural | - | Wikidata Q596382 (djouab) containment, image Djouab%20%D8%AC%D9%88%D8%A7%D8%A8%20-%20panoramio.jpg
  Bibliothèque Moudjahid Hamidi Mohamed – commune de Boughezoul | cultural | - | Wikidata Q116024999 (boughezoul) containment, image Gare%20de%20Boughezoul%20-%2053023011646.png
  Bibliothèque Moudjahid Loucif Ammar – El Mfatha | cultural | - | Wikidata Q3304190 (mfatha) containment, image Bienvenue%20a%20Mfatha%20%D8%A7%D9%84%D9%85%D9%81%D8%A7%D8%AA%D8%AD%D8%A9%20-%20panoramio.jpg
  Bibliothèque Principal de lecture Publique "Assia Djebar"de la Wilaya de Tipasa | cultural | - | Wikidata Q214843 (tipasa) containment, image Mzafran%20%D9%85%D8%B2%D9%81%D8%B1%D8%A7%D9%86%20-%20panoramio.jpg
  Bibliothèque Principal de lecture Publique "Assia Djebar"de la Wilaya de Tipasa. | cultural | - | Wikidata Q214843 (tipasa) containment, image Mzafran%20%D9%85%D8%B2%D9%81%D8%B1%D8%A7%D9%86%20-%20panoramio.jpg
  Bibliothèque Principale de Lecture Publique - Chlef | cultural | - | Wikidata Q231752 (chlef) containment, image Pont%20Baarge%20de%20Oued%20Fooda.jpg
  Bibliothèque Principale de Mascara | cultural | - | Wikidata Q236776 (mascara) containment, image Les%20Monts%20Beni-Chougrane.jpg
  Bibliothèque communale de Ksar El Boukhari | cultural | - | Wikidata Q3200144 (ksar el boukhari) containment, image Ksar%20el%20Boukhari%20%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D8%A8%D8%AE%D8%A7%D8%B1%D9%8A.jpg
  Bibliothèque de Béchar | cultural | - | Wikidata Q638704 (bechar) containment, image Gourai.jpg
  Bibliothèque de lecture publique Abou El Kacem Saâdallah – Touggourt | cultural | - | Wikidata Q852515 (touggourt) containment, image Les%20environs%20de%20Touggourt%20-%20Tamelaht%20%28SNED%29%20%28cropped%29.jpg
  Bibliothèque de lecture publique Frères Abdeldjelil – Sfissifa | cultural | - | Wikidata Q3324726 (sfissifa) containment, image Sfissifa%20%D8%B5%D9%81%D9%8A%D8%B5%D9%8A%D9%81%D8%A9%202.jpg
  Bibliothèque de lecture publique Frères martyrs Amghchouch – Bouzina | cultural | - | Wikidata Q1649021 (bouzina) containment, image %D8%A8%D9%88%D8%B2%D9%8A%D9%86%D8%A9%20%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9.jpg
  Bibliothèque de lecture publique Hadj Bilal Mohamed – In Salah | cultural | - | Wikidata Q255251 (in salah) containment, image InSalah%281991%29.jpg
  Bibliothèque de lecture publique Hama Boudjemaa – commune de Meskiana | cultural | - | Wikidata Q3306857 (meskiana) containment, image Meskiana%20%D9%85%D8%B3%D9%83%D9%8A%D8%A7%D9%86%D8%A9.jpg
  Bibliothèque de lecture publique Malek Bennabi – commune de Sidi Boubekeur | cultural | - | Wikidata Q3483205 (sidi boubekeur) containment, image Sidi%20Boubkeur%20%D8%B3%D9%8A%D8%AF%D9%8A%20%D8%A8%D9%88%D8%A8%D9%83%D8%B1%20-%20panoramio.jpg
  Bibliothèque de lecture publique Moudjahid Lakbir Ettounsi – commune de Souk Naâmane | cultural | - | Wikidata Q3491587 (souk naamane) containment, image Souk%20naamane%201.jpg
  Bibliothèque de lecture publique Moudjahid Mekki Boualem – Moghrar | cultural | - | Wikidata Q3318248 (moghrar) containment, image Moghrar.JPG
  Bibliothèque de lecture publique Rabii El Amraoui – commune de Berriche | cultural | - | Wikidata Q2899127 (berriche) containment, image Commune%20de%20Berriche%20%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%A8%D8%B1%D9%8A%D8%B4.jpg
  Bibliothèque de lecture publique d'El Djezzar | cultural | Y | Wikidata Q3032929 (djezzar) containment, image APC%20de%20Djezar.jpg
  Bibliothèque de lecture publique d'El Khoubana – wilaya de M'Sila | cultural | - | Wikidata Q240870 (wilaya de msila) containment, image La%20porte%20du%20d%C3%A9sert%20%C2%AB%20Bou%20ssada%20%C2%BB.jpg
  Bibliothèque de lecture publique d'El Mouilha – commune de M'Sila | cultural | - | Wikidata Q240870 (msila) containment, image La%20porte%20du%20d%C3%A9sert%20%C2%AB%20Bou%20ssada%20%C2%BB.jpg
  Bibliothèque de lecture publique d'El Ouenza | cultural | - | Wikidata Q2215410 (ouenza) containment, image Ouenza%20Station.jpg
  Bibliothèque de lecture publique de Boukhmissa – commune de M'Sila | cultural | - | Wikidata Q240870 (msila) containment, image La%20porte%20du%20d%C3%A9sert%20%C2%AB%20Bou%20ssada%20%C2%BB.jpg
  Bibliothèque de lecture publique de Brézina | cultural | - | Wikidata Q2924791 (brezina) containment, image La%20mairie%20Brezina%20%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%A8%D8%B1%D9%8A%D8%B2%D9%8A%D9%86%D8%A9.jpg
  Bibliothèque de lecture publique de Chemora | cultural | - | Wikidata Q2215192 (chemora) containment, image Chemorar.jpg
  Bibliothèque de lecture publique de Kenadsa | cultural | - | Wikidata Q390925 (kenadsa) containment, image Ksar%20Kenadsa.jpg
  Bibliothèque de lecture publique de Mécheria | historical | - | Wikidata Q2606114 (mecheria) containment, image Lyc%C3%A9e%20Azouzi%20%5EAssoun%20-%20panoramio.jpg
  Bibliothèque de lecture publique de N'Gaous | cultural | - | Wikidata Q3178467 (ngaous) containment, image RAS%20el-Ain%20N%27gaous.jpg
  Bibliothèque de lecture publique de Reggane | cultural | - | Wikidata Q582905 (reggane) containment, image Tanezrouft-Reggane%281990%29.jpg
  Bibliothèque de lecture publique de Seriana | cultural | - | Wikidata Q2214722 (seriana) containment, image Taga%20-%20Seriana%20%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9%20-%20%D8%B3%D8%B1%D9%8A%D8%A7%D9%86%D8%A9%20-%20panoramio.jpg
  Bibliothèque de lecture publique de Tabelbala | cultural | - | Wikidata Q2302870 (tabelbala) containment, image %D8%AA%D8%A8%D9%84%D8%A8%D8%A7%D9%84%D8%A9%202025.jpg
  Bibliothèque de lecture publique de Taghit | cultural | - | Wikidata Q3052604 (taghit) containment, image Vue%20de%20Taghit.jpg
  Bibliothèque de lecture publique de Tkout | cultural | - | Wikidata Q3511821 (tkout) containment, image APC%20de%20T%27Kout.jpg
  Bibliothèque de lecture publique martyr Bouamama Benyahia – Aïn Sefra | cultural | - | Wikidata Q2745712 (ain sefra) containment, image Vue%20d%20Ain%20Sefra%2C%20Alg%C3%A9rie.jpg
  Bibliothèque de lecture publique martyr Djedid Djedid – Djeniene Bourezg | cultural | - | Wikidata Q3032892 (djeniene bourezg) containment, image 134%20Djeniene%20Bourezg.JPG
  Bibliothèque de lecture publique – annexe de Charouine | cultural | - | Wikidata Q2642041 (charouine) containment, image Charouine%20Adrar.jpg
  Bibliothèque de lecture publique – annexe de Timimoun | cultural | - | Wikidata Q1021173 (timimoun) containment, image Entr%C3%A9e%20de%20Timimoun%20%D8%AA%D9%8A%D9%85%D9%8A%D9%85%D9%88%D9%86.jpg
  Bibliothèque de lecture publique – commune d'El Maâdid | cultural | - | Wikidata Q2585679 (maadid) containment, image Qal%27at%20Bani%20Hammad%2C%20Maadid%2C%20M%27Sila%20Province%2C%20Algeria%202008.jpg
  Bibliothèque de lecture publique – commune d'Ez Zaâfrane | cultural | - | Wikidata Q3574435 (zaafrane) containment, image Zaafrane%20%D8%A8%D9%84%D8%AF%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B2%D8%B9%D9%81%D8%B1%D8%A7%D9%86%20-%20panoramio.jpg
  Bibliothèque de lecture publique – commune de Benhar | cultural | - | Wikidata Q2895844 (benhar) containment, image Commune%20de%20Benhar%20-%20panoramio.jpg
  Bibliothèque de lecture publique – commune de Birine | cultural | - | Wikidata Q1649303 (birine) containment, image %D9%85%D8%B3%D8%AC%D8%AF%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D8%AD%D9%81%D9%8A%D8%B8%20%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85%D9%8A%20%D9%88%D8%B3%D8%A7%D8%AD%D8%A9%20%D8%A3%D9%88%D9%84%20%D9%86%D9%88%D9%81%D9%85%D8%A8%D8%B1%20%D8%A7%D9%84%D8%A8%D9%8A%D8%B1%D9%8A%D9%86.jpg
  Bibliothèque de lecture publique – commune de Bordj Menaïel | cultural | - | Wikidata Q2910781 (bordj menaiel) containment, image Bordj%20M%C3%A9naiel.jpg
  Bibliothèque de lecture publique – commune de Chellal | cultural | - | Wikidata Q2962198 (chellal) containment, image Chellal%20-%20M%27sila%20%D8%A7%D9%84%D8%B4%D9%84%D8%A7%D9%84%20-%20%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D9%84%D8%A9%2001.jpg
  Bibliothèque de lecture publique – commune de Dar Chioukh | cultural | - | Wikidata Q3015935 (dar chioukh) containment, image Dar%20Chioukh%20%D8%AF%D8%A7%D8%B1%20%D8%A7%D9%84%D8%B4%D9%8A%D9%88%D8%AE%20%2824338880538%29.jpg
  Bibliothèque de lecture publique – commune de Dehahna | cultural | - | Wikidata Q3021289 (dehahna) containment, image La%20mosqu%C3%A9e%20de%20Dehahna%20-%20panoramio.jpg
  Bibliothèque de lecture publique – commune de Deldoul | cultural | - | Wikidata Q3021530 (deldoul) containment, image Deldoul%20%D8%AF%D9%84%D8%AF%D9%88%D9%84%20-%20panoramio.jpg
  Bibliothèque de lecture publique – commune de Doucen | cultural | - | Wikidata Q3037852 (doucen) containment, image Doucen%20%D8%A7%D9%84%D8%AF%D9%88%D8%B3%D9%86.jpg
  Bibliothèque de lecture publique – commune de Guettara | cultural | - | Wikidata Q3119232 (guettara) containment, image Guettara%20%D9%82%D8%B7%D8%A7%D8%B1%D8%A9.jpg
  Bibliothèque de lecture publique – commune de Hassi Bahbah | cultural | - | Wikidata Q649908 (hassi bahbah) containment, image Hassi%20Bahbah%2C%20Djelfa%20Province%20%28Algeria%29.jpg
  Bibliothèque de lecture publique – commune de Hassi Fedoul | cultural | Y | Wikidata Q1649459 (hassi fedoul) containment, image Souk%20de%20Hassi%20Fedoul%20%D8%AD%D8%A7%D8%B3%D9%8A%20%D9%81%D8%AF%D9%88%D9%84.jpg
  Bibliothèque de lecture publique – commune de Messaad | cultural | - | Wikidata Q609487 (messaad) containment, image Nouvelle%20Zaouia%20de%20Sidi%20Nael%20%D8%B2%D8%A7%D9%88%D9%8A%D8%A9%20%D8%B3%D9%8A%D8%AF%D9%8A%20%D9%86%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9.jpg
  Bibliothèque de lecture publique – commune de Sed Rahal | cultural | Y | Wikidata Q619091 (sed rahal) containment, image Guemamer%20%D9%82%D9%85%D8%A7%D9%85%D8%B1.jpg
  Bibliothèque de lecture publique – commune de Si Mustapha – martyr Benzerga Boualem | cultural | - | Wikidata Q311886 (si mustapha) containment, image Vue%20%C3%A0%20Si%20Mustapha.jpg
  Bibliothèque de lecture publique – commune de Thénia – Imam Brahim Boushaki | cultural | - | Wikidata Q2225013 (thenia) containment, image Thenia%2011092012.jpg
  Bibliothèque de lecture publique – commune de Tidjelabine – martyr Djaadi Mohamed | cultural | - | Wikidata Q1895428 (tidjelabine) containment, image Tidjelabine%20%D8%AA%D9%8A%D8%AC%D9%84%D8%A7%D8%A8%D9%8A%D9%86%20-%20panoramio.jpg
  Bibliothèque du 3e Kilomètre – Jijel | cultural | - | Wikidata Q402726 (jijel) containment, image Jijel%2039%2C%20Wilaya%20de%20Jijel%20%28Alg%C3%A9rie%29.JPG
  Bibliothèque martyr Brahimi Mohamed – commune de Djouab | cultural | - | Wikidata Q596382 (djouab) containment, image Djouab%20%D8%AC%D9%88%D8%A7%D8%A8%20-%20panoramio.jpg
